X;Y;Z;W;iter;
-0.3375;-0.507936;-1.14286;-0.507936;1;
-0.3375;-0.507936;-1.01587;-1.14286;1;
-0.3375;-0.507936;-1.01587;-1.01587;1;
-0.3375;-0.507936;-1.01587;-0.63492;2;
-0.3375;-0.507936;-1.01587;-0.507936;1;
-0.3375;-0.507936;-1.01587;-0.380952;1;
-0.3375;-0.507936;-1.01587;-0.253968;1;
-0.3375;-0.507936;-0.888888;-1.01587;1;
-0.3375;-0.507936;-0.888888;-0.380952;1;
-0.3375;-0.507936;-0.888888;-0.253968;1;
-0.3375;-0.507936;-0.888888;-0.126984;1;
-0.3375;-0.507936;-0.888888;0;1;
-0.3375;-0.507936;-0.761904;-1.01587;1;
-0.3375;-0.507936;-0.761904;0;1;
-0.3375;-0.507936;-0.63492;-1.01587;1;
-0.3375;-0.507936;-0.63492;-0.888888;1;
-0.3375;-0.507936;-0.507936;-0.888888;1;
-0.3375;-0.507936;-0.380952;-0.888888;1;
-0.3375;-0.507936;-0.253968;-0.888888;1;
-0.3375;-0.507936;-0.126984;-0.888888;1;
-0.3375;-0.507936;0;-0.888888;1;
-0.3375;-0.380952;-1.52381;-1.14286;1;
-0.3375;-0.380952;-1.39682;-1.14286;1;
-0.3375;-0.380952;-1.39682;-1.01587;1;
-0.3375;-0.380952;-1.39682;-0.888888;1;
-0.3375;-0.380952;-1.26984;-1.14286;1;
-0.3375;-0.380952;-1.26984;-1.01587;1;
-0.3375;-0.380952;-1.26984;-0.888888;2;
-0.3375;-0.380952;-1.26984;-0.761904;1;
-0.3375;-0.380952;-1.14286;-1.14286;1;
-0.3375;-0.380952;-1.14286;-0.761904;2;
-0.3375;-0.380952;-1.14286;-0.63492;1;
-0.3375;-0.380952;-1.14286;-0.507936;1;
-0.3375;-0.380952;-1.01587;-1.14286;1;
-0.3375;-0.380952;-1.01587;-1.01587;1;
-0.3375;-0.380952;-1.01587;-0.507936;1;
-0.3375;-0.380952;-1.01587;-0.380952;1;
-0.3375;-0.380952;-1.01587;-0.253968;1;
-0.3375;-0.380952;-0.888888;-1.01587;1;
-0.3375;-0.380952;-0.888888;-0.253968;1;
-0.3375;-0.380952;-0.888888;-0.126984;1;
-0.3375;-0.380952;-0.888888;0;1;
-0.3375;-0.380952;-0.761904;-1.01587;1;
-0.3375;-0.380952;-0.63492;-1.01587;1;
-0.3375;-0.380952;-0.63492;-0.888888;1;
-0.3375;-0.380952;-0.507936;-1.01587;1;
-0.3375;-0.380952;-0.507936;-0.888888;1;
-0.3375;-0.380952;-0.380952;-0.888888;1;
-0.3375;-0.380952;-0.253968;-0.888888;1;
-0.3375;-0.380952;-0.126984;-0.888888;1;
-0.3375;-0.380952;0;-0.888888;1;
-0.3375;-0.253968;-1.52381;-1.14286;1;
-0.3375;-0.253968;-1.39682;-1.26984;1;
-0.3375;-0.253968;-1.39682;-1.14286;1;
-0.3375;-0.253968;-1.39682;-1.01587;1;
-0.3375;-0.253968;-1.39682;-0.888888;1;
-0.3375;-0.253968;-1.26984;-1.14286;1;
-0.3375;-0.253968;-1.26984;-0.888888;2;
-0.3375;-0.253968;-1.26984;-0.761904;2;
-0.3375;-0.253968;-1.26984;-0.63492;1;
-0.3375;-0.253968;-1.14286;-1.14286;1;
-0.3375;-0.253968;-1.14286;-0.761904;2;
-0.3375;-0.253968;-1.14286;-0.63492;3;
-0.3375;-0.253968;-1.14286;-0.507936;1;
-0.3375;-0.253968;-1.01587;-1.14286;1;
-0.3375;-0.253968;-1.01587;-1.01587;1;
-0.3375;-0.253968;-1.01587;-0.507936;2;
-0.3375;-0.253968;-1.01587;-0.380952;1;
-0.3375;-0.253968;-1.01587;-0.253968;1;
-0.3375;-0.253968;-1.01587;-0.126984;1;
-0.3375;-0.253968;-0.888888;-1.01587;1;
-0.3375;-0.253968;-0.888888;-0.253968;1;
-0.3375;-0.253968;-0.888888;-0.126984;1;
-0.3375;-0.253968;-0.888888;0;1;
-0.3375;-0.253968;-0.761904;-1.01587;1;
-0.3375;-0.253968;-0.63492;-1.01587;1;
-0.3375;-0.253968;-0.507936;-1.01587;1;
-0.3375;-0.253968;-0.507936;-0.888888;1;
-0.3375;-0.253968;-0.380952;-1.01587;1;
-0.3375;-0.253968;-0.380952;-0.888888;1;
-0.3375;-0.253968;-0.253968;-1.01587;1;
-0.3375;-0.253968;-0.253968;-0.888888;1;
-0.3375;-0.253968;-0.126984;-1.01587;1;
-0.3375;-0.253968;-0.126984;-0.888888;1;
-0.3375;-0.253968;0;-1.01587;1;
-0.3375;-0.253968;0;-0.888888;1;
-0.3375;-0.126984;-1.52381;-1.26984;1;
-0.3375;-0.126984;-1.52381;-1.14286;1;
-0.3375;-0.126984;-1.39682;-1.26984;1;
-0.3375;-0.126984;-1.39682;-1.14286;1;
-0.3375;-0.126984;-1.39682;-1.01587;1;
-0.3375;-0.126984;-1.39682;-0.888888;2;
-0.3375;-0.126984;-1.26984;-1.14286;1;
-0.3375;-0.126984;-1.26984;-0.888888;2;
-0.3375;-0.126984;-1.26984;-0.761904;2;
-0.3375;-0.126984;-1.26984;-0.63492;1;
-0.3375;-0.126984;-1.14286;-1.14286;1;
-0.3375;-0.126984;-1.14286;-0.63492;3;
-0.3375;-0.126984;-1.14286;-0.507936;1;
-0.3375;-0.126984;-1.14286;-0.380952;1;
-0.3375;-0.126984;-1.01587;-1.14286;1;
-0.3375;-0.126984;-1.01587;-1.01587;1;
-0.3375;-0.126984;-1.01587;-0.507936;2;
-0.3375;-0.126984;-1.01587;-0.380952;1;
-0.3375;-0.126984;-1.01587;-0.253968;1;
-0.3375;-0.126984;-1.01587;-0.126984;1;
-0.3375;-0.126984;-1.01587;0;1;
-0.3375;-0.126984;-0.888888;-1.01587;1;
-0.3375;-0.126984;-0.888888;-0.126984;1;
-0.3375;-0.126984;-0.888888;0;1;
-0.3375;-0.126984;-0.761904;-1.01587;1;
-0.3375;-0.126984;-0.63492;-1.01587;1;
-0.3375;-0.126984;-0.507936;-1.01587;1;
-0.3375;-0.126984;-0.380952;-1.01587;1;
-0.3375;-0.126984;-0.253968;-1.01587;1;
-0.3375;-0.126984;-0.126984;-1.01587;1;
-0.3375;-0.126984;0;-1.01587;1;
-0.3375;0;-1.52381;-1.26984;1;
-0.3375;0;-1.52381;-1.14286;1;
-0.3375;0;-1.39682;-1.26984;1;
-0.3375;0;-1.39682;-1.14286;1;
-0.3375;0;-1.39682;-1.01587;1;
-0.3375;0;-1.39682;-0.888888;2;
-0.3375;0;-1.26984;-1.14286;1;
-0.3375;0;-1.26984;-0.888888;2;
-0.3375;0;-1.26984;-0.761904;2;
-0.3375;0;-1.26984;-0.63492;1;
-0.3375;0;-1.14286;-1.14286;1;
-0.3375;0;-1.14286;-0.63492;3;
-0.3375;0;-1.14286;-0.507936;1;
-0.3375;0;-1.14286;-0.380952;1;
-0.3375;0;-1.01587;-1.14286;1;
-0.3375;0;-1.01587;-1.01587;1;
-0.3375;0;-1.01587;-0.380952;1;
-0.3375;0;-1.01587;-0.253968;1;
-0.3375;0;-1.01587;-0.126984;1;
-0.3375;0;-1.01587;0;1;
-0.3375;0;-0.888888;-1.01587;1;
-0.3375;0;-0.761904;-1.01587;1;
-0.3375;0;-0.63492;-1.01587;1;
-0.3375;0;-0.507936;-1.01587;1;
-0.3375;0;-0.380952;-1.01587;1;
-0.3375;0;-0.253968;-1.01587;1;
-0.3375;0;-0.126984;-1.01587;1;
-0.3375;0;0;-1.01587;1;
-0.3375;-1.52381;0;0;1;
-0.3375;-1.39682;-0.253968;0;1;
-0.3375;-1.39682;-0.126984;0;1;
-0.3375;-1.39682;0;0;1;
-0.3375;-1.39682;0;0.126984;1;
-0.3375;-1.26984;-0.380952;0;1;
-0.3375;-1.26984;-0.253968;0;1;
-0.3375;-1.26984;-0.253968;0.126984;1;
-0.3375;-1.26984;-0.126984;0;1;
-0.3375;-1.26984;-0.126984;0.126984;1;
-0.3375;-1.26984;0;0;1;
-0.3375;-1.26984;0;0.126984;1;
-0.3375;-1.26984;0;0.253968;1;
-0.3375;-1.14286;-0.507936;0;1;
-0.3375;-1.14286;-0.380952;0;1;
-0.3375;-1.14286;-0.380952;0.126984;1;
-0.3375;-1.14286;-0.253968;0;1;
